ticket_id,customer_id,ticket_date,ticket_category,resolution_time_hrs,satisfaction_score
142,104634,2024-01-13,Technical,19.44,2
143,103314,2025-03-20,Billing,28.86,4
144,104234,2025-03-11,Billing,14.35,4
145,102877,2024-10-07,Refund,14.85,3
146,103891,2023-01-10,Account,43.49,3
147,104788,2024-09-13,Account,18.57,2
148,100803,2024-07-30,Refund,12.08,5
149,104070,2023-07-18,Technical,0.86,5
150,102260,2023-09-11,Billing,30.98,4
151,103883,2024-07-14,Technical,1.13,2
152,101507,2023-03-08,Technical,6.15,2
153,103695,2025-05-31,Account,25.21,3
154,101222,2024-03-30,Account,21.65,3
155,103519,2023-12-27,Technical,9.89,1
156,104575,2025-03-03,Billing,1.03,2
157,104464,2024-12-16,Billing,3.7,4
158,103983,2023-05-11,Billing,13.77,1
159,100751,2024-06-25,Billing,17.83,4
160,104019,2024-11-27,Refund,21.26,2
161,103395,2025-02-09,Account,1.76,3
162,102468,2023-11-14,Refund,16.97,2
163,102794,2023-01-17,Refund,12.13,5
164,104271,2025-02-05,Technical,7.77,5
165,104642,2024-01-11,Account,3.44,3
166,100767,2025-01-04,Billing,4.85,1
167,102717,2023-03-29,Technical,29.56,1
168,100005,2023-12-18,Billing,2.95,4
169,102673,2023-08-13,Refund,1.76,4
170,104375,2023-02-26,Account,3.98,4
171,102623,2023-11-02,Billing,1.49,2
172,103070,2024-10-24,Technical,26.73,4
173,104788,2024-05-14,Billing,33.05,1
174,102410,2024-03-14,Refund,23.61,5
175,101985,2025-03-02,Refund,11.53,2
176,104489,2024-12-23,Billing,23.93,3
177,100274,2024-02-25,Billing,1.54,2
178,101451,2023-10-15,Billing,18.93,4
179,104055,2023-09-02,Billing,0.02,2
180,100507,2025-02-13,Technical,1.22,1
181,102832,2025-03-23,Technical,14.73,1
182,100719,2023-08-21,Technical,0.23,3
183,104597,2024-06-20,Account,1.16,5
184,104741,2024-09-26,Technical,18.45,4
185,102336,2024-02-22,Account,7.19,4
186,101457,2023-04-01,Account,12.19,2
187,101253,2025-06-15,Technical,29.3,5
188,103855,2025-01-07,Billing,38.14,2
189,103526,2023-10-12,Technical,44.44,4
190,104285,2025-05-16,Technical,12.86,5
191,102684,2025-06-02,Refund,0.92,2
192,103839,2025-05-25,Technical,15.72,4
193,103340,2023-06-11,Account,8.25,2
194,100962,2025-04-07,Account,0.59,4
195,100462,2023-01-08,Refund,5.98,1
196,104848,2024-11-21,Account,18.74,5
197,100209,2024-02-27,Billing,18.36,5
198,104499,2025-04-24,Technical,0.24,4
199,103020,2023-12-16,Account,20.49,2
200,104128,2024-08-10,Billing,1.11,3
201,103734,2024-02-04,Account,7.68,2
202,103594,2023-03-17,Refund,23.8,2
203,101509,2025-02-08,Technical,27.37,2
204,102062,2024-04-08,Refund,3.51,5
205,104916,2025-05-19,Account,9.05,4
206,103436,2023-03-03,Account,10.64,4
207,100912,2024-10-11,Billing,7.32,5
208,104083,2023-03-20,Account,4.37,5
209,100651,2023-01-03,Billing,5.31,3
210,100450,2024-10-08,Technical,0.69,4
211,100163,2023-07-27,Technical,5.7,2
212,101717,2024-06-13,Account,3.48,5
213,100279,2024-10-01,Account,17.78,5
214,103422,2023-04-03,Refund,3.56,2
215,102982,2023-12-28,Billing,12.24,1
216,100719,2023-12-03,Refund,3.56,5
217,104091,2024-12-13,Refund,12.77,2
218,104678,2023-03-24,Technical,9.25,2
219,104710,2024-05-15,Billing,3.37,1
220,104950,2023-08-02,Refund,5.73,4
221,102669,2024-07-02,Account,8.4,1
222,101397,2023-07-16,Technical,16.27,4
223,103893,2023-01-23,Billing,1.77,5
224,103954,2024-08-11,Account,9.6,5
225,103021,2024-11-10,Account,12.81,2
226,102378,2024-10-14,Billing,1.72,2
227,100022,2024-12-29,Account,7.92,3
228,101244,2025-05-08,Account,8.67,5
229,100281,2025-04-28,Account,29.21,3
230,102141,2025-06-05,Account,31.54,3
231,103649,2024-06-17,Technical,16.4,2
232,103608,2025-05-09,Account,7.44,1
233,102424,2024-07-25,Refund,3.46,4
234,104862,2025-05-18,Technical,12.0,3
235,103544,2024-08-11,Billing,10.87,2
236,103766,2023-07-12,Refund,31.52,2
237,102156,2025-04-27,Billing,20.3,3
238,103602,2023-11-20,Account,18.23,5
239,103736,2024-06-26,Refund,8.42,3
240,103852,2025-03-22,Refund,22.42,4
241,104730,2025-04-18,Account,6.3,2
242,104238,2024-12-03,Refund,4.99,5
243,100596,2024-12-06,Technical,4.12,4
244,102510,2024-06-09,Technical,10.61,3
245,101554,2025-03-08,Refund,3.94,2
246,104413,2023-09-26,Technical,11.24,5
247,101302,2023-04-20,Account,6.32,5
248,101283,2023-05-19,Technical,0.2,1
249,103755,2024-09-14,Technical,13.94,4
250,102336,2024-12-26,Billing,3.66,5
251,103024,2024-06-15,Technical,11.97,3
252,101876,2023-11-18,Technical,19.76,4
253,102073,2024-04-21,Billing,9.46,4
254,102677,2025-02-17,Account,7.23,3
255,100178,2023-08-14,Technical,8.34,2
256,103039,2023-08-05,Technical,0.05,5
257,102854,2023-01-23,Refund,14.51,2
258,101520,2024-02-12,Refund,0.09,3
259,102764,2025-05-07,Billing,22.18,3
260,104325,2025-06-03,Refund,8.58,1
261,103604,2024-03-20,Account,13.13,4
262,103742,2025-06-15,Account,14.74,3
263,100011,2024-05-29,Refund,4.6,4
264,103132,2024-01-21,Refund,9.43,3
265,102319,2025-03-21,Technical,1.6,5
266,100704,2025-03-03,Technical,99.1,1
267,104956,2024-11-11,Account,8.51,3
268,103091,2024-12-01,Technical,7.39,1
269,102293,2025-03-27,Billing,7.88,5
270,104214,2024-07-28,Technical,4.32,3
271,100153,2024-07-15,Billing,10.19,2
272,100028,2024-12-02,Billing,11.55,3
273,102199,2024-10-24,Refund,18.47,5
274,100668,2023-08-16,Refund,11.72,4
275,100207,2024-12-23,Billing,4.92,5
276,103765,2024-12-05,Account,12.83,2
277,101126,2023-05-19,Account,13.33,3
278,100634,2024-11-15,Account,4.66,2
279,100082,2024-11-08,Billing,18.92,3
280,102372,2024-04-14,Refund,1.81,5
281,101333,2023-03-07,Refund,1.0,4
282,101150,2023-12-03,Billing,10.16,3
283,104305,2025-05-18,Billing,0.97,2
284,102232,2024-01-30,Refund,3.18,1
285,101928,2024-03-09,Billing,2.09,1
286,104039,2024-09-20,Refund,25.07,1
287,102018,2023-09-05,Billing,10.42,5
288,101198,2023-07-02,Refund,1.23,4
289,103651,2023-04-10,Technical,4.62,1
290,102322,2024-07-25,Account,12.12,3
291,104744,2024-02-23,Technical,10.38,2
292,103127,2023-06-09,Billing,22.1,5
293,104366,2024-09-16,Refund,5.66,2
294,102009,2023-12-27,Technical,11.14,3
295,102196,2023-11-26,Billing,6.91,3
296,101936,2024-02-27,Refund,7.91,5
297,104585,2023-03-03,Technical,7.11,5
298,100304,2023-08-15,Billing,26.74,5
299,102590,2023-07-19,Account,2.01,4
300,102386,2024-06-26,Technical,26.37,1
301,104615,2024-01-19,Refund,21.26,4
302,101813,2024-07-11,Refund,1.6,2
303,103120,2023-12-29,Account,24.87,5
304,103895,2023-08-08,Billing,0.4,3
305,101131,2024-10-29,Account,13.36,3
306,103495,2023-06-03,Technical,15.7,5
307,102906,2024-07-26,Technical,3.41,3
308,100210,2024-09-12,Account,28.25,4
309,100030,2023-12-24,Account,12.13,2
310,103304,2023-09-18,Technical,50.71,4
311,103041,2024-01-19,Account,0.76,4
312,102376,2023-03-08,Billing,28.15,2
313,102676,2025-01-23,Account,0.69,4
314,104152,2024-09-21,Billing,5.75,2
315,103473,2024-05-27,Billing,8.29,3
316,102986,2024-04-25,Technical,23.83,3
317,101620,2023-12-13,Refund,19.49,3
318,101849,2025-03-10,Refund,43.42,1
319,103967,2023-08-23,Refund,7.25,5
320,102333,2023-07-16,Refund,0.78,3
321,103043,2025-02-28,Billing,5.91,1
322,101479,2023-03-16,Technical,1.15,2
323,103980,2023-11-22,Technical,1.48,1
324,103863,2023-12-07,Account,2.96,1
325,101322,2023-05-14,Billing,9.94,3
326,103229,2025-04-28,Account,10.96,1
327,100805,2024-12-03,Billing,34.07,3
328,100281,2024-09-08,Account,41.35,1
329,103123,2023-08-29,Account,38.28,2
330,103765,2023-07-05,Account,40.37,4
331,102568,2024-02-14,Account,24.47,2
332,100113,2024-11-09,Account,7.89,5
333,100281,2025-05-26,Account,6.71,3
334,104815,2024-07-11,Technical,21.45,3
335,103101,2023-08-08,Technical,15.52,1
336,103501,2023-12-09,Technical,16.16,4
337,100928,2023-03-21,Refund,64.68,3
338,104938,2024-05-20,Billing,14.46,3
339,100281,2024-03-19,Account,1.08,5
340,103968,2025-03-23,Refund,16.11,3
341,104549,2023-12-15,Refund,4.79,4
342,100457,2024-06-28,Technical,4.47,2
343,102947,2023-05-27,Refund,9.03,5
344,103289,2023-01-04,Billing,0.36,2
345,102112,2023-08-18,Refund,8.78,1
346,100290,2025-05-03,Refund,6.08,4
347,101268,2024-11-12,Billing,3.43,2
348,102547,2025-05-03,Technical,0.52,5
349,104600,2024-09-26,Refund,4.57,5
350,103464,2025-04-08,Billing,9.88,4
351,103904,2023-02-23,Billing,5.36,1
352,102186,2023-10-08,Refund,2.17,1
353,100864,2023-11-14,Billing,17.02,1
354,100246,2023-09-01,Billing,3.48,1
355,103876,2025-05-17,Technical,5.53,2
356,101130,2023-07-30,Refund,10.49,2
357,100843,2024-03-03,Technical,3.9,1
358,103120,2023-06-06,Billing,34.06,3
359,102752,2023-01-10,Refund,26.75,2
360,102693,2025-05-10,Technical,0.18,3
361,104943,2024-07-28,Technical,17.16,3
362,101328,2023-07-10,Billing,26.08,4
363,100763,2023-03-16,Technical,48.23,1
364,104620,2023-09-07,Billing,41.13,3
365,100100,2024-01-05,Technical,4.78,4
366,100295,2024-02-17,Technical,4.73,5
367,102344,2023-06-26,Technical,45.06,1
368,100193,2025-02-28,Billing,29.82,4
369,103656,2024-03-11,Account,1.11,4
370,104918,2023-11-03,Technical,13.89,5
371,104225,2023-08-05,Refund,1.81,5
372,103569,2024-07-11,Billing,32.46,3
373,102166,2023-11-29,Billing,8.86,2
374,104171,2023-06-16,Refund,13.84,3
375,101825,2025-05-09,Refund,11.08,5
376,103435,2024-06-05,Refund,5.21,1
377,101418,2023-05-19,Refund,3.25,3
378,100991,2023-11-06,Refund,14.99,1
379,101803,2024-06-07,Account,18.64,2
380,103419,2023-02-07,Account,1.71,1
381,102418,2025-04-20,Billing,9.63,1
382,103410,2023-10-08,Billing,3.82,5
383,104371,2024-02-19,Refund,16.26,5
384,100559,2025-05-19,Billing,7.38,3
385,104398,2024-11-08,Account,18.67,5
386,100430,2024-12-03,Account,17.32,5
387,104846,2025-06-17,Technical,4.38,4
388,103398,2023-05-23,Account,5.66,2
389,101270,2024-07-05,Billing,10.25,3
390,101951,2023-07-24,Billing,12.99,1
391,103356,2025-02-25,Refund,39.47,5
392,101695,2024-05-25,Billing,1.56,2
393,102804,2024-05-13,Billing,2.61,3
394,102484,2024-04-24,Account,60.12,2
395,102278,2024-11-03,Billing,25.02,5
396,103882,2024-07-20,Billing,4.17,1
397,101651,2023-09-08,Refund,11.29,1
398,104159,2024-04-20,Technical,0.29,2
399,103264,2023-12-25,Refund,2.41,5
400,103280,2023-12-11,Account,4.11,4
401,103021,2025-04-09,Refund,0.04,4
402,101875,2024-12-31,Technical,20.27,2
403,100677,2023-03-31,Account,14.69,2
404,104897,2024-02-10,Refund,3.79,1
405,104701,2023-09-21,Billing,21.5,5
406,103500,2023-05-23,Technical,5.09,2
407,102977,2023-09-06,Billing,6.29,4
408,104337,2024-03-25,Refund,24.01,2
409,104172,2024-06-04,Account,9.36,3
410,100181,2023-08-25,Refund,11.65,4
411,100901,2023-03-23,Refund,23.67,3
412,100676,2023-09-12,Account,29.57,4
413,104969,2023-10-07,Refund,7.92,5
414,103444,2024-02-13,Account,1.05,4
415,104899,2025-04-09,Billing,6.77,1
416,100814,2023-06-07,Billing,15.39,1
417,102257,2024-04-28,Refund,7.73,5
418,101688,2024-09-13,Refund,0.13,5
419,102732,2023-10-26,Technical,1.21,3
420,104921,2023-02-19,Billing,39.45,2
421,104243,2024-03-16,Technical,3.74,5
422,100750,2023-01-17,Billing,5.31,1
423,104096,2023-05-24,Account,8.67,5
424,100616,2023-04-23,Account,14.86,4
425,101220,2023-10-06,Account,0.73,3
426,100646,2023-11-26,Billing,0.27,4
427,102799,2023-02-21,Technical,2.15,2
428,100773,2023-10-06,Refund,0.23,3
429,100917,2023-04-24,Technical,3.9,1
430,101871,2024-04-19,Technical,5.39,2
431,103357,2024-03-24,Billing,6.17,5
432,102808,2024-06-10,Refund,5.18,2
433,101257,2024-05-04,Refund,1.0,5
434,103672,2023-01-28,Technical,3.42,3
435,104196,2024-03-03,Refund,4.62,4
436,101893,2024-12-22,Billing,13.73,4
437,102671,2023-02-08,Account,0.81,3
438,103728,2024-07-14,Account,4.19,4
439,100251,2023-09-10,Billing,14.12,3
440,100446,2024-04-24,Refund,5.3,2
441,101006,2023-03-29,Billing,25.1,2
442,104732,2023-06-22,Refund,6.07,5
443,101796,2024-02-10,Refund,26.36,1
444,104577,2024-06-09,Refund,23.27,4
445,104131,2023-09-23,Technical,6.2,3
446,101116,2023-01-10,Refund,24.51,1
447,100962,2024-12-16,Billing,4.22,5
448,101479,2023-12-20,Technical,29.37,5
449,101487,2024-04-25,Refund,21.76,4
450,103160,2025-05-04,Billing,4.83,3
451,100741,2024-03-09,Account,5.61,1
452,104749,2024-11-19,Technical,15.77,4
453,103442,2024-10-02,Technical,6.68,1
454,100070,2023-04-08,Refund,1.77,2
455,104762,2023-01-05,Refund,38.98,3
456,103745,2024-12-04,Refund,21.51,4
457,104108,2023-09-10,Account,8.5,5
458,101815,2024-05-09,Billing,7.8,3
459,100082,2023-03-27,Billing,11.14,1
460,100032,2025-02-15,Billing,20.03,1
461,101149,2023-05-29,Billing,3.87,3
462,104739,2024-01-02,Account,8.98,3
463,103904,2024-12-01,Refund,2.95,3
464,102542,2023-09-26,Billing,4.34,2
465,100337,2025-04-26,Account,11.71,3
466,101949,2023-09-11,Account,3.79,4
467,102682,2025-02-06,Billing,14.56,1
468,100177,2025-01-14,Technical,6.89,3
469,102212,2024-07-05,Billing,3.91,2
470,104085,2023-12-06,Technical,13.32,4
471,101389,2025-01-21,Billing,20.54,4
472,103865,2024-02-06,Refund,10.27,1
473,104441,2024-02-16,Account,1.06,2
474,102195,2023-01-12,Refund,15.66,2
475,102332,2025-06-09,Technical,11.09,1
476,100496,2024-08-24,Billing,3.09,1
477,101768,2023-10-30,Refund,5.5,3
478,101056,2023-07-14,Technical,12.88,5
479,101762,2023-11-12,Refund,10.36,5
480,100239,2024-09-15,Billing,6.56,1
481,103576,2025-01-23,Refund,13.28,3
482,103698,2025-01-12,Refund,9.2,2
483,103327,2023-11-24,Refund,5.27,2
484,100211,2023-05-26,Account,2.31,4
485,104566,2023-10-11,Billing,2.01,3
486,104808,2025-03-03,Refund,2.05,2
487,104462,2024-06-30,Account,6.3,1
488,103487,2025-04-29,Technical,18.46,2
489,103007,2024-11-30,Account,8.29,1
490,104504,2025-01-23,Refund,15.79,4
491,100975,2023-02-28,Billing,3.52,1
492,101478,2025-04-02,Refund,2.94,1
493,102915,2023-05-20,Account,28.21,3
494,101132,2024-08-10,Technical,10.28,4
495,102662,2024-01-19,Account,1.11,1
496,100944,2023-12-21,Billing,1.49,3
497,103316,2024-09-16,Technical,5.5,1
498,104872,2024-11-27,Technical,9.33,5
499,103518,2023-03-14,Technical,10.99,4
500,103366,2023-07-02,Billing,1.27,3
501,100025,2023-07-10,Account,62.97,1
502,101701,2024-09-05,Refund,7.6,5
503,104569,2024-11-23,Technical,4.69,1
504,102058,2023-11-20,Account,4.99,4
505,102886,2024-04-10,Billing,24.96,2
506,103980,2025-01-28,Refund,1.26,1
507,101595,2025-06-15,Billing,8.34,3
508,101692,2025-02-04,Account,15.88,4
509,104292,2024-02-12,Account,1.82,4
510,101673,2025-02-19,Account,11.49,5
511,104035,2024-07-31,Billing,2.8,1
512,100121,2023-01-31,Account,31.48,3
513,101224,2024-12-23,Refund,25.19,2
514,101125,2023-10-07,Technical,17.57,3
515,104211,2024-01-13,Technical,4.37,2
516,103848,2025-04-18,Account,7.67,2
517,100841,2025-01-13,Billing,7.82,4
518,101509,2023-12-05,Billing,2.18,5
519,100873,2023-11-04,Billing,27.11,5
520,102579,2025-01-28,Account,4.95,1
521,102857,2025-03-06,Billing,14.42,4
522,102657,2023-08-15,Refund,69.09,5
523,101642,2024-05-27,Billing,6.25,5
524,104241,2023-05-22,Account,2.45,4
525,102030,2025-02-28,Refund,5.15,4
526,102609,2023-03-03,Account,21.2,4
527,103749,2024-06-24,Account,24.85,5
528,104385,2025-06-11,Refund,6.77,1
529,103746,2024-08-16,Refund,13.18,2
530,104834,2024-07-22,Account,1.63,5
531,104847,2024-02-18,Account,30.41,1
532,100531,2024-05-25,Billing,23.88,5
533,100093,2024-05-18,Billing,7.69,5
534,100112,2024-11-17,Refund,5.78,2
535,100121,2023-10-13,Billing,7.1,4
536,104920,2023-01-14,Billing,19.79,5
537,101695,2024-07-23,Technical,0.61,5
538,104916,2023-10-22,Refund,3.8,3
539,103608,2023-07-24,Account,4.38,1
540,103236,2025-05-05,Refund,19.8,2
541,102232,2023-03-24,Refund,19.8,4
542,104286,2023-05-21,Billing,3.57,4
543,104775,2025-06-12,Technical,2.81,1
544,102742,2023-09-07,Billing,10.21,5
545,102587,2023-07-29,Refund,5.51,1
546,101433,2023-01-17,Billing,3.81,2
547,103664,2023-08-05,Account,30.85,3
548,101479,2025-03-05,Billing,3.64,2
549,100503,2025-03-01,Account,3.96,4
550,103605,2023-03-29,Billing,2.27,2
551,104810,2023-11-19,Refund,0.66,3
552,104474,2024-04-27,Technical,14.18,3
553,101284,2024-02-17,Technical,9.6,4
554,103493,2023-10-03,Account,2.32,5
555,103678,2023-08-02,Refund,4.26,4
556,100089,2023-07-30,Account,13.72,5
557,102667,2024-03-13,Technical,3.25,4
558,104345,2025-03-05,Technical,4.55,1
559,100082,2023-09-06,Account,5.25,4
560,102916,2023-12-29,Billing,7.48,5
561,103295,2023-05-10,Refund,9.98,5
562,101799,2024-09-13,Billing,7.2,4
563,101346,2023-07-13,Account,1.93,4
564,104526,2023-07-06,Billing,32.99,4
565,104690,2024-11-29,Refund,25.76,4
566,104041,2023-09-28,Refund,37.79,4
567,102930,2023-02-02,Account,11.53,4
568,104726,2025-06-05,Refund,2.11,2
569,103036,2024-07-31,Account,6.55,3
570,101976,2025-01-01,Refund,2.25,5
571,100833,2023-10-13,Technical,2.33,5
572,102061,2023-01-20,Account,5.9,1
573,100790,2024-08-17,Billing,5.16,3
574,103505,2025-06-16,Billing,3.58,2
575,103748,2023-01-12,Account,9.25,5
576,100531,2023-04-24,Account,22.81,1
577,103934,2023-12-15,Account,6.44,3
578,103280,2024-07-04,Account,4.39,2
579,100710,2023-09-13,Refund,16.07,4
580,101187,2023-07-22,Technical,18.9,5
581,102204,2023-09-13,Billing,3.74,1
582,104718,2023-07-26,Account,7.73,4
583,101690,2023-07-30,Account,5.27,5
584,104739,2024-08-23,Refund,2.97,2
585,101121,2023-07-17,Billing,29.28,5
586,103259,2024-10-03,Technical,9.37,3
587,100690,2023-11-25,Account,7.51,3
588,104443,2024-09-10,Account,3.4,2
589,103056,2023-03-13,Refund,0.42,1
590,104194,2023-12-23,Refund,25.14,2
591,102955,2023-05-12,Technical,17.4,5
592,104739,2025-04-07,Account,40.12,3
593,104546,2023-12-31,Account,1.25,2
594,100012,2024-08-31,Refund,3.1,4
595,102399,2025-02-27,Technical,28.12,2
596,101013,2023-08-08,Refund,6.15,1
597,101742,2024-03-28,Refund,24.48,2
598,104451,2024-02-28,Technical,9.76,3
599,100600,2025-01-21,Technical,8.75,1
600,104385,2024-08-26,Billing,3.8,1
601,102749,2023-12-25,Account,7.62,1
602,104866,2024-08-09,Account,8.93,5
603,104207,2024-01-01,Billing,13.94,4
604,102375,2023-08-27,Refund,5.42,4
605,100437,2023-07-27,Account,1.5,4
606,100596,2023-10-15,Account,27.08,2
607,100531,2023-05-11,Refund,1.7,1
608,103097,2024-03-02,Account,6.81,1
609,101765,2025-04-15,Account,12.68,4
610,103634,2024-02-20,Refund,3.46,4
611,103406,2023-09-23,Refund,14.12,3
612,100847,2024-07-29,Account,13.56,4
613,104304,2025-05-03,Account,12.27,1
614,102371,2023-08-20,Refund,0.81,1
615,102009,2024-02-21,Technical,1.28,1
616,102369,2024-04-21,Refund,12.16,3
617,104851,2025-06-16,Refund,7.98,4
618,101257,2023-01-29,Billing,5.1,4
619,102993,2024-12-10,Account,12.32,2
620,103609,2023-09-13,Refund,18.57,5
621,100825,2024-06-09,Billing,9.06,4
622,100826,2024-08-27,Billing,12.3,4
623,103622,2023-08-06,Account,2.62,5
624,104622,2023-06-23,Account,3.96,5
625,103804,2023-04-30,Technical,11.27,3
626,100661,2024-10-06,Account,2.56,1
627,100900,2023-02-09,Account,2.8,2
628,102499,2024-07-25,Billing,12.61,5
629,103802,2024-10-28,Refund,39.79,5
630,104594,2023-04-09,Technical,0.87,5
631,104242,2023-07-07,Account,7.19,2
632,102081,2024-08-24,Billing,41.89,3
633,100599,2025-02-22,Technical,1.7,1
634,102601,2023-07-21,Billing,41.46,4
635,101216,2024-10-20,Technical,1.42,5
636,100116,2024-12-25,Technical,10.23,1
637,104716,2023-08-23,Technical,5.3,4
638,100038,2023-02-09,Account,24.13,1
639,100589,2024-05-08,Account,15.65,4
640,101599,2024-07-10,Refund,1.0,2
